Code,Append to js?,中文,ENG
CCCC,,崇基禮拜堂,Chung Chi College Chapel 
CCT,,崇基神學樓,Chung Chi College Theology Building 
CK,,崇基圖書館,C.C. Library 
CKB,,陳國本樓,Chen Kou Bun Building 
CML,,錢穆圖書館,Ch'ien Mu Library 
CYT,,鄭裕彤樓,Cheng Yu Tung Building 
ELB,,利黃瑤璧樓,Esther Lee Building 
ERB,,蒙民偉工程學大樓,William M.W. Mong Engineering Building 
FYB,,王福元樓,Wong Foo Yuan Building 
HCA,,碧秋樓,Pi Chiu Building 
HCF,,夏鼎基運動場,Sir Philip Haddon-Cave Sports Field 
HTB,,何添樓,Ho Tim Building 
HTC,,夏鼎基網球場,Haddon-Cave Tennis Court 
HYS,,許讓成樓,Hui Yeung Shing Building 
IBSB,,羅桂祥綜合生物醫學大樓,Lo Kwee-Seong Integrated Biomedical Sciences Building 
ICS,,中國文化研究所,Institute of Chinese Studies 
KKB,,梁銶琚樓,Leung Kau Kui Building 
KSB,,汾陽體育樓,Kwok Sports Building 
LDS,,李達三樓,Li Dak Sum Building 
LHC,,潤昌堂,Y.C. Liang Hall 
LHCH,,利希慎音樂廳,Lee Hysan Concert Hall 
LN,,嶺南體育館,Lingnan Stadium 
LPN LT,,黎陳佩昂演講廳,Lai Chan Pui Ngong Lecture Theatre 
LSB,,邵逸夫夫人樓,Lady Shaw Building 
LSK,,李兆基樓,Lee Shau Kee Building 
LWC,,李慧珍樓,Li Wai Chun Building 
MCO,,晨興書院研討室,Morningside College Seminar Room 
MMW,,蒙民偉樓,Mong Man Wai Building 
NAA,,誠明館,Cheng Ming Building 
NAG,,新亞體育館,New Asia College Gymnasium 
NAH,,人文館,Humanities Building 
NATT,,新亞書院乒乓球室,New Asia College Table Tennis Room 
PSC,,龐萬倫學生中心,Pommerenke Student Centre 
PWH,,威爾斯親王醫院,Prince of Wales Hospital 
SB,,信和樓,Sino Building 
SCSH,,逸夫書院室內體育及多功能館,Multi-purpose Sports Hall - Shaw College 
SCTT,,逸夫書院乒乓球室,Table Tennis Room - Shaw College 
SHB,,何善衡工程學大樓,Ho Sin-Hang Engineering Building 
SP,,游泳池,Swimming Pool 
SWC LT,,逸夫書院演講廳,Lecture Theatre - Shaw College 
SWH,,太古堂,Swire Hall 
TC,,網球場,Tennis Court 
UC TT,,聯合書院乒乓球室,Table Tennis Room - United College 
UCA,,曾肇添樓,Tsang Shiu Tim Building 
UCC,,鄭棟材樓,T.C. Cheng Building 
UCG,,聯合體育館,The Thomas H.C. Cheung Gymnasium of United College 
UG,,楊明標室內體育館,University Gymnasium 
WLS,,文瀾堂,Wen Lan Tang 
WMY,,伍何曼原樓,Wu Ho Man Yuen Building 
WS1,,和聲書院南座,Lee W.S. College South Block 
WYST,,伍宜孫書院演藝廳,Wu Yee Sun College Theatre 
YCT,,容啟東校長紀念樓,President Chi-tung Yung Memorial Building 
ULIB,,大學圖書館,University Library
WTY,,王統元堂,T.Y. Wong Hall
CCADM,,崇基行政樓,Chung Chi College Admin. Bldg.
SCIM,,飯煲底,
UNIMALL,,百萬大道 / 林蔭大道,The University Mall
CBEC,,烽火台,The Beacon
GOW,,《仲門》,Gate of Wisdom
JCPH3,,賽馬會研究生宿舍三號,Jockey Club Postgrad Hall No.3
ENTRANCE,,華表,the traditional Huabiao
ENTRANCEW,,榜木,publicity post
CAMPCS,,文化廣場,Cultural Square
CAMPHG,,中藥園,Herbal Garden
CCWL,,未圓湖 ,Weiyuan Lake (Lake Ad Excellentiam)
CCPP,,哲徑,Philosophy Path 
CCISE,,止於至善,In Search of Excellence 
CCCBAB,,曲橋、拱橋,the Crooked Bridge and the Arched Bridge 
NACO,,圓形廣場,New Asia Concourse 
NASC,,孔子像,The Statue of Confucius 
NAWT,,新亞水塔 / 君子塔,The Water Tower / the Gentleman Tower
NACT,,鐘樓,The Clock Tower 
NAPH,,合一亭 / 天人合一,Pavilion of Harmony 
SCCSM,,書院標記及壁畫,College Sign and Mural 
SCLT,,逸夫大講堂,Shaw Lecture Theatre 
SCCMPG,,草苓香中草藥園,The HERBSnSENSES Chinese Medicinal Plants Garden 
UCWT,,聯合水塔 / 淑女塔,The Water Tower / the Lady Tower 
WCSB,,聯合書院銅鐘,United College School Bell 
UCSG,,雕塑園,The Sculpture Garden 
UCSUM,,《光輝聯合人》,Glorious United Man 
UCOM,,聯合《調》,UC OM 
UCULC,,《終極秩序》,Ultimate Cosmos 
UCREL,,《開放》,Release 
UCPG,,平臺花園,Podium Garden 
UCTC,,瀑布,The Cascade 
UCMDM,,明德壁,Ming De Mural
HSB,,恒生銀行,Hang Seng Bank
BEA,,東亞銀行,Bank of East Asia
JFC,,富爾敦樓,John Fulton Centre
TCP,,商務印書館,The Commercial Press 
BFC,,范克廉樓,Benjamin Franklin Centre
CHS,,COMER Hair Salon,COMER Hair Salon
UHS,,大學保健處,University Health Service
CMS,,中醫專科診所暨臨床教研中心,Chinese Medicine Specialty Clinic cum Clinical Teaching and Research Centre
SOVC,,紀念品銷售處,Souvenir Counter
FUSION,,Fusion 超級市場,Fusion Supermarket
MEDCAN,,李卓敏基本醫學大樓小食店,Basic Medical Sciences Building Snack Bar
BFCCC,,范克廉樓咖啡閣,Benjamin Franklin Centre Coffee Corner
BFCSF,,范克廉樓教職員餐廳,Benjamin Franklin Centre Staff Canteen
BFCSC,,范克廉樓學生膳堂,Benjamin Franklin Centre Student Canteen
BFCVF,,范克廉樓素食餐廳,Benjamin Franklin Centre Vegetarian Food Shop
