建築物,最近之車站
CBEC,SHAWHALL
CAMPCS,UADM
C330,MTRP
C330,MTR
C330,YIAP
C330,CCTEA
BMS,SHAWHALL
BFCVF,UADM
BFCSF,UADM
BFCSC,UADM
BFCCC,UADM
BFC,UADM
BEA,MTRP
BEA,MTR
BEA,YIAP
BEA,CCTEA
AREA39,AREA39
ARC,CCTEA
ARC,YIAP
ARC,MTRP
ARC,MTR
AMEW,SHAWHALL
AIT,MTRP
AIT,CCTEA
AIT,MTR
AIT,YIAP
AB1,SHAWHALL
AB1,SCIC
AB1,SPORTC
